text,label
"Government of Bihar launches digital literacy program in rural districts",REAL
"AIIMS Patna receives accreditation for advanced cardiac surgery center",REAL
"West Champaran farmers benefit from new irrigation scheme announced by state",REAL
"Technical education institutes in Bihar receive new funding for modernization",REAL
"SBTE Bihar announces new diploma curriculum aligned with industry needs",REAL
"New IIT campus established in Bihar to boost technical education",REAL
"Patna metro project receives environmental clearance for expansion",REAL
"Bihar flood relief efforts coordinated with NDRF and state disaster teams",REAL
"Rajgir wildlife sanctuary receives new conservation funding from central government",REAL
"Government Polytechnic institutions in Bihar get new computer labs",REAL
"University grants commission releases new guidelines for diploma programs",REAL
"Indian cricket team wins test series against Australia at home",REAL
"Ministry of Science approves new research grants for AI and ML projects",REAL
"NASSCOM report shows India emerges as global AI talent hub",REAL
"Students from Bihar polytechnic colleges win national robotics competition",REAL
"International Court of Justice issues ruling on maritime boundary dispute",REAL
"World Bank approves loan for India infrastructure development projects",REAL
"G20 summit concludes with agreement on global tax reform framework",REAL
"India launches new satellite for weather forecasting and disaster management",REAL
"ALIEN INVASION Extraterrestrial beings land in Delhi government hiding truth",FAKE
"Bill Gates admits he put microchips in COVID vaccines to track population",FAKE
"5G towers spread coronavirus secret documents leaked from WHO",FAKE
"Drinking bleach cures COVID-19 according to hidden government report",FAKE
"India planning to ban all social media permanently from next month",FAKE
"Secret society controls world economy from underground bunker in Switzerland",FAKE
"Scientists discover that moon is actually a hollow artificial structure built by aliens",FAKE
"Prime Minister secretly owns 50000 crore worth of Swiss bank accounts",FAKE
"NASA faked all moon landings in Hollywood studio confirms insider",FAKE
"Eating onion and garlic daily gives complete immunity from all diseases",FAKE
"Government plans to implant tracking devices in Aadhaar cards secretly",FAKE
"Drinking hot water with lemon juice kills cancer cells completely",FAKE
"WhatsApp will start charging users 10 rupees per message from next week",FAKE
"India will become part of China within 5 years per secret treaty",FAKE
"Vitamin C overdose can prevent all viral infections with 100 percent guarantee",FAKE
"Scientists find that electricity causes brain damage in long-term users of smartphones",FAKE
"Secret cure for diabetes found but doctors hide it to earn money from patients",FAKE
"India won 200 gold medals in secret Olympics not covered by media",FAKE
"5000-year-old Indian texts reveal cure for HIV that governments suppress",FAKE
"Drinking cow urine daily prevents all cancers according to hidden research",FAKE
"Government plans forced migration of 50 million people to new smart cities",FAKE
"RBI printing unlimited money causing secret hyperinflation in shadow economy",FAKE
"Celebrity actor caught spying for foreign country says unnamed source",FAKE
"COVID vaccine causes magnetism in human body as proven by viral videos",FAKE
"India has secret nuclear base on moon hidden from international community",FAKE
"WhatsApp forwards itself to steal your banking passwords automatically",FAKE
"Water from reverse osmosis purifiers causes bone cancer over 10 years",FAKE
"Government secretly adding fluoride to water to make citizens obedient",FAKE
"Solar eclipse causes food to become poisonous if not covered",FAKE
"Scientists discover that sleeping less than 4 hours increases IQ by 50 percent",FAKE
"Rich businessmen meeting secretly to divide India into corporate zones",FAKE
"New phone model emits radiation that causes instant DNA mutation",FAKE
"Ancient pyramid found under sea near Andaman Islands with advanced technology",FAKE
"Tax department to seize all bank accounts above 1 lakh rupees next month",FAKE
"USA planning military attack on India disguised as joint naval exercise",FAKE
"Scientist who found cancer cure murdered by pharmaceutical companies last week",FAKE
"Secret government document proves moon is made of cheese say anonymous sources",FAKE
"Drinking a mixture of motor oil and honey cures arthritis permanently",FAKE
"New law will make owning mobile phones illegal for people below 30",FAKE
"Scientists prove that prayers can physically change DNA structure permanently",FAKE
"India secretly developing teleportation device with stolen alien technology",FAKE
"All bank notes above 500 rupees to be demonetized again next month",FAKE
"Eating raw eggs mixed with mustard oil prevents hair loss permanently",FAKE
"Government plans to ban internet for 6 months for national security reasons",FAKE
"WhatsApp sending all your private messages to foreign intelligence agencies",FAKE
"Magic stone from Himalayas cures all diseases including cancer and diabetes",FAKE
"Opposition leader paid 1000 crore by foreign enemy nation to destabilize India",FAKE
"Planting certain herbs in home protects from all diseases says viral post",FAKE
"Mix bleach with ammonia to create powerful cleaning agent for home use",FAKE
"New secret app can hack any phone camera without the owner knowing",FAKE
"Pyramid scheme investment guaranteed to return 1000 percent profit in 30 days",FAKE
"Instant cancer cure discovered by Indian scientist suppressed by pharma lobby",FAKE
"Earthquake will destroy entire Indian coastline in next 48 hours say experts",FAKE
